offer,brand,description,category,activated_date,expiration_date,url
,,,,,,
SAVE 75¢,1850® Coffee,on any ONE (1) 1850® Ready to Drink product,Beverages > Coffee > Coffee Related,2020-04-27T00:01:00-0700,2020-07-30T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
SAVE $1.00,Colgate®,"On any Colgate TotalSF, Colgate® Optic White®, Colgate® Enamel Health, Colgate® Zero, Colgate® with Charcoal or Hemp Seed oil or",Personal Care > Oral Care > Tooth Whitening,2020-04-26T00:01:00-0700,2020-05-09T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $0.50,Pace® Salsa or Picante Sauce,off ONE (1) jar of Pace® Salsa or Picante Sauce,Foods > Dips > Dips Related,2020-04-27T00:01:00-0700,2020-05-31T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $3.00,Schick® Disposables,"off ONE (1) Skintimate® or Schick® Disposable Razor Pack or Schick® Xtreme5® or Hydro Silk 3® Razor or Refill (excl. 1, 2 or 6",Personal Care > Shaving Needs > Razors & Blades:  Men,2020-04-26T00:01:00-0700,2020-05-16T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$1.00 OFF,ACT®,ONE (1) ACT® product (excludes trial/travel sizes),Personal Care > Oral Care > Breath Freshener,2020-04-26T00:01:00-0700,2020-05-30T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$3.00 OFF,L'Oreal Paris,ANY TWO (2) Elvive haircare or Advanced Hairstyle products (exclusions apply),Personal Care > Hair Care > Women,2020-04-26T00:01:00-0700,2020-05-10T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
