username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
abc,ABC News,https://twitter.com/ABC/status/1255364462565101568,"""The mayor says the public's safety will take priority, but hopes the city can both follow public health guidelines and host the convention. https",2020-04-28 22:13:00,2,,0,,0,,0,,
thm_off,T H M™,https://twitter.com/THM_Off/status/1255361445451177985,"""BREAKING",2020-04-28 22:01:00,52,28,1,,0,,0,,
akhwatenge,audrey khwatenge,https://twitter.com/AKhwatenge/status/1255364370751729671,"""THE LORD HAS DEMONSTRATED HIS POWER AND AUTHORITY OVER MANKIND THROUGH HIS MIGHTIEST MIGHTIEST PROPHETS.
 HAS THIS GENERATION RETURN TO HIM OR IT IS GOING WITH THERE NORMAL DUTIES OF WHICH NOW HAS BEEN BROUGHT DOWN BY COVID-19? #EmbraceRepentance… https",2020-04-28 22:12:00,,,0,,0,EmbraceRepentan,1,,
_yourboyy,Mba Jonah,https://twitter.com/_yourboyy/status/1255339648324427776,"""Me to corona the past few days. #corona 80 in Lagos… """,2020-04-28 20:34:00,2,1,0,,0,corona,1,,
valositygg,Valosity,https://twitter.com/ValosityGG/status/1255151120151797762,"""We will be competing in the qualification to #Corona-Strike Cuppen!

GL HF Boys!… """,2020-04-28 08:05:00,9,3,1,,0,Corona,1,,https://pbs.twimg.com/media/EWsvdJnU4BIZg1q.png
arlingt92204646,Arlington,https://twitter.com/Arlingt92204646/status/1255356111479361537,"""Let's have hope, this shall come to past. Let's stay home. Go out if it's necessary #Coronavirus… """,2020-04-28 21:39:00,,,0,,0,Coronavirus,1,,
orchardcitygal,Annette,https://twitter.com/orchardcitygal/status/1255324780254965760,"""The #coronavirus, aided by technology, has changed the way Cabinet Sessions in 🇸🇦#SaudiArabia are conducted, at least for the foreseeable future.

March 2020 vs. April 2020… https",2020-04-28 19:35:00,13,9,0,,0,coronavirus | SaudiArabia,2,,https://pbs.twimg.com/media/EWvPO0ZX0AEPC0T.jpg | https://pbs.twimg.com/media/EWvPO0XX0AA7PCw.jpg
erin16642105,erin,https://twitter.com/erin16642105/status/1255355368965902336,"""#FlattenTheCurve Flu shot increases risk of #coronavirus… """,2020-04-28 21:36:00,2,1,1,,0,FlattenTheCurve | coronavirus,2,,https://pbs.twimg.com/media/EWvrDXKXkAMODuu.jpg
yunohooooo,Yunohoo,https://twitter.com/yunohooooo/status/1255339211202404354,"""Spread the word around. 🙏❤️#coronavirus #COVID19 #Malaysialockdown… """,2020-04-28 20:32:00,3,1,0,,0,coronavirus | COVID19 | Malaysialockdow,3,,https://pbs.twimg.com/media/EWvcWYYXgAEL88A.jpg
desh_bhkt,Dolli,https://twitter.com/desh_bhkt/status/1255364331958607872,"""11 traders associated with Delhi's Azadpur Sabzi Mandi have tested positive for #Coronavirus. We are tracing the contacts of the cases. They are not directly connected to the mandi",2020-04-28 22:12:00,3,1,0,,0,Coronavirus,1,,
afpphoto,AFP Photo,https://twitter.com/AFPphoto/status/1255346067161452546,"""#Coronavirus #COVID19 #Lebanon Rooftop Yoga in Beirut. 
https",2020-04-28 21:00:00,186,50,8,,0,Coronavirus | COVID19 | Lebanon,3,,https://pbs.twimg.com/media/EWragldXQAIZCYn.jpg | https://pbs.twimg.com/media/EWragldX0AEDPGM.jpg | https://pbs.twimg.com/media/EWraglYWoAAspqN.jpg | https://pbs.twimg.com/media/EWraglZWsAAmh1o.jpg
morasell,Fact Check,https://twitter.com/morasell/status/1255359891876851714,"""This is interesting 🙄

“Everyone here has been vaccinated” 
Caught on tape by Golden State Times",2020-04-28 21:54:00,1,,0,,0,,0,,
nub9nueve,Nube Nueve,https://twitter.com/Nub9Nueve/status/1255349216874057732,"""#coronavirus #ufo2020 this year memes are going to make history.… """,2020-04-28 21:12:00,2,2,0,,0,coronavirus | ufo2020,2,,
onlyqwert,OnlyQwert,https://twitter.com/OnlyQwert/status/1255364635785560064,"""I wanted a zombie apocalypse to end the world, but we got everything else #COVID19 #coronavirus #UFO #ufo2020 coss your fingers… https",2020-04-28 22:13:00,,,0,,0,COVID19 | coronavirus | UFO | ufo2020,4,,https://pbs.twimg.com/media/EWvzeo1X0AAo5hG.jpg
swachhbharatgov,Swachh Bharat Urban,https://twitter.com/SwachhBharatGov/status/1255364347976650753,"""With the help of modern techniques, authorities in Vijayawada are fighting #Coronavirus. They are spraying Sodium hypochlorite disinfectant with the help of drones in quarantine zones & surrounding areas, to prevent further spread of the virus.

#CitiesFightCorona… https",2020-04-28 22:12:00,,,0,,0,Coronavirus | CitiesFightCoro,2,,https://pbs.twimg.com/media/EWvy6siXsAIvlXn.jpg | https://pbs.twimg.com/media/EWvy-mmXQAAp0bk.png
medscape,Medscape,https://twitter.com/Medscape/status/1255318389955989504,"""#Coronavirus may cause extra delirium in psychiatric patients. https",2020-04-28 19:10:00,65,35,0,,0,Coronavirus,1,,https://pbs.twimg.com/media/EWvJbF0XYAAWYiW.jpg
tomthunkitsmind,Tomthunkit™,https://twitter.com/TomthunkitsMind/status/1255364017088016385,"""CUTS 50% MONEY FROM WORLD HEALTH ORG TO FIGHT #CORONAVIRUS
HAS ZERO MONEY IN BUDGET TO FIGHT THE VIRUS
NOW, 'INFECTIOUS DISEASE EXPERT' & MR. KNOW-IT-ALL SAYS",2020-04-28 22:11:00,,,0,,0,CORONAVIRUS,1,,https://pbs.twimg.com/profile_images/816281781011959808/aGIAz8Qe_normal.jpg
paraspr70945432,Paras Prajapat,https://twitter.com/ParasPr70945432/status/1255364315240181761,"""First time in nimbahera Chittorgarh district 7 patients positive in corona viruse 
Who are responsible in this
#ashokgehlot #coronavirus #PrimeMinister… https",2020-04-28 22:12:00,,,0,,0,ashokgehlot | coronavirus | PrimeMinister,3,,https://pbs.twimg.com/media/EWvzLmiWAAIYBIQ.jpg
andycat3,Andy C-137,https://twitter.com/andycat3/status/1255355411261243398,"""Exposing yourself to a virus to own the libs. #coronavirus… """,2020-04-28 21:37:00,,,0,,0,coronavirus,1,,https://pbs.twimg.com/media/EWvrFzQWoAILG7G.jpg
broomstick33,grace pettigrew,https://twitter.com/broomstick33/status/1255324253731381250,"""#abcnews what on earth is tax-dodging fraud Twiggy Forrest doing telling Premiers to step up their game and telling citizens to ""get back to work"" while praising his own shopping expedition in China, while Morrison is attacking China .. who is in charge here? #coronavirus""",2020-04-28 19:33:00,263,134,15,,0,abcnews | coronavirus,2,,
earthnewslive,Earth News LIVE,https://twitter.com/EarthNewsLIVE/status/1255330023906648066,"""#COVID19",2020-04-28 19:56:00,3,4,3,,0,COVID19,1,,
tomhall,Tom Hall ,https://twitter.com/TomHall/status/1255328056442589184,"""✈️

Blue Angles over NYC 

✈️

#Heroes #coronavirus  

https",2020-04-28 19:48:00,219,85,25,,0,Heroes | coronavirus,2,,https://pbs.twimg.com/profile_images/1126712263870521345/7wiGv-f1_normal.jpg
ani,ANI,https://twitter.com/ANI/status/1255347592248131586,"""73 deaths and 1897 new cases in last 24 hours due to #Coronavirus, the sharpest ever increase in death cases in India.… https",2020-04-28 21:06:00,"1,954",514,79,,0,Coronavirus,1,,
