username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
techno82103029,Techno_king_as,https://twitter.com/Techno82103029/status/1255302671046754308,"""The official hacker comes here.... 
#hacker #techno #staysafe #stayhome""",2020-04-28 18:07:00,,1,0,,0,hacker | techno | staysafe | stayhome,4,,
malwarepatrol,Malware Patrol,https://twitter.com/MalwarePatrol/status/1255288022641278976,"""Another active #Phishing targeting Apple
URL",2020-04-28 17:09:00,,2,0,,0,Phishing,1,,https://pbs.twimg.com/media/EWutzcpX0AEQb7h.jpg
aaronmetosky,"Aaron Metosky Designs, PCM®",https://twitter.com/AaronMetosky/status/1127846933077405696,"""Earned 'Ethical Hacking",2019-05-13 01:03:00,1,2,0,,0,,0,,
superstubbs,SallyAnn ,https://twitter.com/superstubbs/status/1255361017103683584,"""This Phish Uses Skype to Target Surging Remote Workers #phishing
#CyberAware https",2020-04-28 21:59:00,,,0,,0,phishing | CyberAware,2,,
kitploit, KitPloit - Hacker Tools,https://twitter.com/KitPloit/status/1254176704840507392,"""Impulse - Impulse Denial-of-service ToolKit https",2020-04-25 15:33:00,38,23,0,,0,,0,,https://pbs.twimg.com/media/EWe7EPbWAAI1ZoP.png
swdee17,Dee ,https://twitter.com/SWDee17/status/1254426307322142723,"""Yeah right! 🙄 #phishing… """,2020-04-26 08:05:00,13,,6,,0,phishing,1,,https://pbs.twimg.com/media/EWieEqgWAAAr8we.jpg
0xrb,R. Bansal ,https://twitter.com/0xrb/status/1254081736935276544,"""#ELF #Malware binaries for #IoT #DDoS #botnet 
#Mirai #Gafgyt
Payload 𝗟𝗜𝗡𝗞",2020-04-25 09:16:00,32,27,0,,0,ELF | Malware | IoT | DDoS | botnet | Mirai | Gafgyt,7,,https://pbs.twimg.com/media/EWdkYdYUcAEjl3w.jpg
aninditagmishra,Mission CyberSafety,https://twitter.com/aninditagmishra/status/1254286415862489088,"""Is your device saying the file you are about to download looks suspicious? Then it probably is. STOP right there. THINK. Don't run it anyway. ACT. If your security sw is trying to prevent the entry  of malware in the form of infected files,heed the advice. #cybersafety #malware""",2020-04-25 22:49:00,8,9,0,,0,cybersafety | malware,2,,
firstwave_fct,FirstwaveCloudTech,https://twitter.com/Firstwave_FCT/status/1253637465379934209,"""#COVIDー19 cases are on the rise and so are the #Ransomware, #Malware, and #Phishing attacks on the computer networks and systems of individuals and organizations. This is because cyber defences might be lowered due to the shift of focus to the health crisis. #cybersecurity… https",2020-04-24 03:50:00,7,5,0,,0,COVIDー19 | Ransomware | Malware | Phishing | cybersecurity,5,,https://pbs.twimg.com/media/EWXIUEfX0AELacW.png
malwaremustd1e,☩MalwareMustDie,https://twitter.com/malwaremustd1e/status/1253694910986739712,"""There's a copycat #malware actor who's faking #Mirai #FBOT botnet & it's on going NOW.
#C2 is in 5[.]206[.]227[.]18 on spf FQDN darksdemon[.]gov @ @BlazingFastIO hoster (#NL), dir= ""/bot"".
Unpack em well, you'll see result on how poor the crypted config is (pics).
#MalwareMustDie… https",2020-04-24 07:38:00,66,52,2,BlazingFastIO,1,malware | Mirai | FBOT | C2 | NL | MalwareMustDie,6,,https://pbs.twimg.com/media/EWYEWkuUMAQatKW.png | https://pbs.twimg.com/media/EWYEYS-UYAEi1u_.png | https://pbs.twimg.com/media/EWYEaFcUYAAl2-i.png | https://pbs.twimg.com/media/EWYEcFAU4AEIRzr.png
